sample_position,sample_name,scan_time,spos
14,FRT01,10,0
15,FRT02,10,0
16,FRT03,10,2
17,A0110,10,0
18,C0312,10,0
19,A0060,10,3
20,A0391,10,0
21,C0650,10,0
22,A0583,10,0
23,A0109,10,0
24,A0001,10,0
25,A0585,10,0
26,A0002,10,0
27,A0584,10,0
28,ZL-3,10,0
29,ZL-1,10,3
30,ZL-2,10,0
31,ZL-5,10,0
32,GSPS800,10,0
33,GSPS540,10,0
34,ZL-4,10,0
35,O2CO3-bulk,10,0
36,O2CO3-BC,10,0
37,O3AO2,10,3
38,DSH-06,10,0
39,DSH-01,10,0
40,DSH-03,10,0
41,DSH-04,10,0
42,DSH-05,10,0
43,DSH-02,10,5
44,RB02,10,0
45,RB07,10,0
46,RB05,10,0
47,RB04,10,0
48,RB08,10,0
49,RB01,10,0
51,JW020,10,0
52,RB03,10,0
53,RB06,10,0
54,VR01,10,0
55,VR10,10,4
56,VR07,10,0
57,VR05,10,0
58,VR06,10,0
59,VR08,10,0
60,VR03,10,0
61,VR04,10,2
62,VR02,10,0
63,CC01,10,0
64,CC04,10,0
65,CC98,10,0
66,Sunita_Sulfur,10,0
67,Sunita_ortho20,10,0
68,Sunita_MgS-dis2,10,0
69,Sunita_MgS-dis1,10,0
70,Sunia_ortho15,10,0
71,Sunita_ortho20-bm,10,0
72,JMT-AS,10,0
73,ABGd,10,0
74,GSP1-800,10,0
76,ABG0,10,0
77,DL002,10,0
78,JMT-HT,10,0
79,JMT-IL-M200,10,0
80,JMT-M200,10,0
81,VR09,10,4
82,JMT-IL-MHT,10,0
83,03A02A,10,0
84,03A02B,10,0
85,05A01A,10,0
86,04A01B,10,0
87,04A01A,10,0
88,GP3,10,0
89,GP2,10,0
90,GP1,10,0
91,DL001,10,0
92,JW028,10,0
93,JW027,10,0
94,JW013,10,0
95,JW011,10,0
96,JW018,10,0
97,JW006,10,0
98,JW014,10,0
99,JW002,10,0
100,JW026,10,0
101,JW016,10,0
102,JW024,10,0
103,JW025,10,0
104,JW004,10,0
